,model,false_positives,false_negatives,all,FP_rate,FN_rate,accuracy
0,./models/model_0.joblib,613.0,120.0,733.0,0.20098360655737704,0.03826530612244898,0.8815066278693825
1,./models/model_1.joblib,159.0,210.0,369.0,0.05213114754098361,0.06696428571428571,0.9403491755577109
2,./models/model_2_1.joblib,3.0,226.0,229.0,0.0009836065573770492,0.07206632653061225,0.9629809246686065
3,./models/model_2_10.joblib,4.0,146.0,150.0,0.0013114754098360656,0.046556122448979595,0.9757516973811833
4,./models/model_2_2.joblib,18.0,197.0,215.0,0.005901639344262295,0.0628188775510204,0.965244099579696
5,./models/model_2_3.joblib,9.0,202.0,211.0,0.0029508196721311475,0.06441326530612244,0.9658907209828645
6,./models/model_2_5.joblib,3.0,194.0,197.0,0.0009836065573770492,0.06186224489795918,0.9681538958939541
7,./models/model_3_1.joblib,3.0,226.0,229.0,0.0009836065573770492,0.07206632653061225,0.9629809246686065
8,./models/model_3_10.joblib,3.0,134.0,137.0,0.0009836065573770492,0.04272959183673469,0.9778532169414808
9,./models/model_3_2.joblib,3.0,226.0,229.0,0.0009836065573770492,0.07206632653061225,0.9629809246686065
10,./models/model_3_3.joblib,3.0,226.0,229.0,0.0009836065573770492,0.07206632653061225,0.9629809246686065
11,./models/model_3_5.joblib,5.0,199.0,204.0,0.001639344262295082,0.06345663265306123,0.9670223084384093
12,no_model,749.0,0.0,749.0,0.2455737704918033,0.0,0.8789201422567087
