,crop_path,painting_name,no_of_descriptors,no_of_matches,dist_median,dist_mean,dist_std,no_of_outliers,no_of_inliers,homography_norm,homography_det,directory,origin_painting,class,inliers_ratio,matches_ratio,inliers_to_descriptors_ratio,classification,set
62044,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_353.jpg,ThePeasantWedding,89,3.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.033707865168539325,0.0,0,train
21677,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_351.jpg,TheTriumphOfTheDeath,573,25.0,161.48374938964844,158.728349609375,42.31443350479833,20.0,5.0,4458.822047705097,316.7976203683404,reproductions,MassacreOfTheInnocents,false,0.2,0.04363001745200698,0.008726003490401396,0,train
49011,.\objects\reproductions\TheLandOfCockaigne\crops\person\TheLandOfCockaigne_rep_2.jpg,MadMeg,1688,75.0,159.93435668945312,178.62461171468098,50.64999144267654,57.0,18.0,1082.0377412009875,5.947955951443509e-08,reproductions,TheLandOfCockaigne,false,0.24,0.04443127962085308,0.01066350710900474,0,train
19661,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_135.jpg,TheTriumphOfTheDeath,166,6.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.03614457831325301,0.0,0,train
61759,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_337.jpg,TheTriumphOfTheDeath,156,2.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.01282051282051282,0.0,0,train
25035,.\objects\reproductions\MassacreOfTheInnocents\crops\person\MassacreOfTheInnocents_rep_82.jpg,TheProcessionToCalvary,95,1.0,,,,,0.0,,,reproductions,MassacreOfTheInnocents,false,0.0,0.010526315789473684,0.0,0,train
27934,.\objects\reproductions\TheCornHarvest\crops\person\TheCornHarvest_rep_021.jpg,TheWeddingDance,32,1.0,,,,,0.0,,,reproductions,TheCornHarvest,false,0.0,0.03125,0.0,0,train
18262,.\objects\reproductions\MadMeg\crops\person\MadMeg_rep_18.jpg,TheFallofTheRebelAngels,94,4.0,,,,,0.0,,,reproductions,MadMeg,false,0.0,0.0425531914893617,0.0,0,train
13937,.\objects\reproductions\ChildrensGames\crops\person\ChildrensGames_rep_135.jpg,MadMeg,565,34.0,186.25225830078125,190.63490138334387,42.50963787573918,29.0,5.0,793.390370677344,0.0052090343515187,reproductions,ChildrensGames,false,0.14705882352941177,0.06017699115044248,0.008849557522123894,0,train
65143,.\objects\reproductions\TheSermonOfSaintJohnTheBaptist\crops\person\TheSermonOfTheSaintJohnTheBaptist_rep_137.jpg,TheDutchProverbs,200,6.0,,,,,0.0,,,reproductions,TheSermonOfSaintJohnTheBaptist,false,0.0,0.03,0.0,0,train
29894,.\objects\reproductions\TheDutchProverbs\crops\person\TheDutchProverbs_rep_132.jpg,TheCornHarvest,54,4.0,,,,,0.0,,,reproductions,TheDutchProverbs,false,0.0,0.07407407407407407,0.0,0,train
39958,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_325.jpg,TheCornHarvest,54,0.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0,0.0,0,train
49698,.\objects\reproductions\ThePeasantDance\crops\person\ThePeasantDance_rep_04.jpg,ChildrensGames,265,2.0,,,,,0.0,,,reproductions,ThePeasantDance,false,0.0,0.007547169811320755,0.0,0,train
27102,.\objects\reproductions\TheAdorationOfTheKings\crops\person\TheAdorationOfTheKings_rep_215.jpg,TheWeddingDance,93,1.0,,,,,0.0,,,reproductions,TheAdorationOfTheKings,false,0.0,0.010752688172043012,0.0,0,train
60466,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_254.jpg,ChildrensGames,97,3.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.030927835051546393,0.0,0,train
60591,.\objects\reproductions\TheProcessionToCalvary\crops\person\TheProcessionToCalvary_rep_260.jpg,TheTriumphOfTheDeath,203,4.0,,,,,0.0,,,reproductions,TheProcessionToCalvary,false,0.0,0.019704433497536946,0.0,0,train
45361,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_779.jpg,TheWineOfSaintMartinsDay,64,4.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0625,0.0,0,train
11499,.\objects\paintings\TheWineOfSaintMartinsDay\crops\person\TheWineOfSaintMartinsDay56.jpg,TheProcessionToCalvary,48,1.0,,,,,0.0,,,paintings,TheWineOfSaintMartinsDay,false,0.0,0.020833333333333332,0.0,0,train
44197,.\objects\reproductions\TheFightBetweenCarnivalAndLent\crops\person\TheFightBetweenCarnivalAndLent_rep_713.jpg,TheAdorationOfTheKings,51,1.0,,,,,0.0,,,reproductions,TheFightBetweenCarnivalAndLent,false,0.0,0.0196078431372549,0.0,0,train
